"","Rang","Leto","Borza","Simbol","Regija","Kraj","Market_cap"
"1",1,2019,"New York Stock Exchange","NYSE","United States","New York City","22,923"
"2",2,2019,"Nasdaq","NASDAQ","United States","New York City","10,857"
"3",3,2019,"Japan Exchange Group","JPX","Japan","TokyoOsaka","5,679"
"4",4,2019,"London Stock Exchange","LSE","United Kingdom Italy","LondonMilan","4,590"
"5",5,2019,"Shanghai Stock Exchange","SSE","China","Shanghai","4,026"
"6",6,2019,"Hong Kong Stock Exchange","SEHK","Hong Kong","Hong Kong","3,936"
"7",7,2019,"Euronext","","European UnionEuropean Economic Area","AmsterdamBrusselsDublinLisbonOsloParis","3,927"
"8",8,2019,"Toronto Stock Exchange","TSX","Canada","Toronto","3,256"
"9",9,2019,"Shenzhen Stock Exchange","SZSE","China","Shenzhen","2,504"
"10",10,2019,"Bombay Stock Exchange","BSE","India","Mumbai","2,056"
"11",11,2019,"National Stock Exchange","NSE","India","Mumbai","2,030"
"12",12,2019,"Deutsche Börse","FRA","Germany","Frankfurt","1,864"
"13",13,2019,"SIX Swiss Exchange","","Switzerland","Zurich","1,523"
"14",14,2019,"Korea Exchange","KRX","South Korea","SeoulBusan","1,463"
"15",15,2019,"Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","1,372"
"16",15,2019,"Copenhagen Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","formerly CSE","Denmark"
"17",15,2019,"Stockholm Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","","Sweden"
"18",15,2019,"Helsinki Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","formerly OMXH","Finland"
"19",15,2019,"Tallinn Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","","Estonia"
"20",15,2019,"Riga Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","","Latvia"
"21",15,2019,"Vilnius Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","VSE","Lithuania"
"22",15,2019,"Iceland Stock Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","ICEX","Iceland"
"23",15,2019,"Armenia Securities Exchange","Nasdaq Nordic Exchanges","Nasdaq Nordic Exchanges","AMX","Armenia"
"24",16,2019,"Australian Securities Exchange","ASX","Australia","Sydney","1,328"
"25",17,2019,"Taiwan Stock Exchange","TWSE","Taiwan","Taipei","966"
"26",18,2019,"B3","","Brazil","Sao Paulo","938"
"27",19,2019,"JSE","","South Africa","Johannesburg","894"
"28",20,2019,"Bolsas y Mercados Espanoles","BME","Spain","Madrid","764"
"29",21,2018,"Singapore Exchange","SGX","Singapore","Singapore","787"
"30",22,2018,"Moscow Exchange","MISX /
MOEX","Russia","Moscow","619"
"31",23,2018,"Stock Exchange of Thailand","SET","Thailand","Bangkok","549"
"32",24,2020,"Mexican Stock Exchange","BMV","Mexico","Mexico City","530"
"33",25,2018,"Indonesia Stock Exchange","IDX","Indonesia","Jakarta","521"
